,time,Ord_total_fees,Total_Inscriptions,Ordinals_Inscription,weight,daily_avg_size,Ave_tra_fee_rate,hour_market_TotalV,hour_market_TotalT,cnt,Ord_Size_Usage,Ord_vSize_Usage,Ord_hour_fees,hash_rate,num_addresses,tx_count,price,ma_50,ma_100,ma_200
86,2023-05-12,1224.6949268400008,6037157.0,10561.416666666666,23296960.916666668,1730797.8248897328,79.19091444986348,243640.93612744528,310.0833333333333,443.375,4066934.7916666665,2042244.5416666667,1.6952689262499778,355.07816374020666,21740.95833333333,21214.95833333333,26526.53659722219,28552.703991666694,26111.351268402737,22464.13256796173
87,2023-05-13,1259.2338767200006,6382146.0,14374.541666666666,24128670.166666668,1676354.5144160509,48.03697260939661,78281.76969239226,195.54166666666663,290.6666666666667,5487734.75,2760513.25,1.4391229116666715,372.3247206089625,18945.875,23985.0,26849.378194444467,28529.67669722225,26141.53127395829,22487.836598375143
88,2023-05-14,1286.52722771,6756183.0,15584.875,28788911.25,1714977.8335590202,32.23743536987211,122322.82200173772,309.2916666666667,425.5416666666667,6365967.583333333,3105246.9166666665,1.1372229579166568,425.41015649192894,25108.625,26319.875,26897.647291666683,28517.02032222225,26175.53338368052,22511.5452580165
89,2023-05-15,1305.16469505,7024277.0,11170.583333333334,24461771.541666668,1734372.8570301952,36.15580123696865,137980.97447864278,352.8333333333333,485.4583333333333,4699053.0,2252434.25,0.7765611391666661,405.0680304601924,22981.33333333333,21932.45833333333,27347.1801388889,28508.773818750036,26214.913046527738,22537.40426807464
90,2023-05-16,1338.0340104300008,7306744.0,11769.458333333334,25293667.83333333,1729737.0684408743,45.78972453224491,198412.84302683716,483.0,666.125,4804732.041666667,2330746.5416666665,1.3695548075000044,380.8223480920815,22992.33333333333,23602.58333333333,27090.95243055553,28498.922214583366,26253.58988124996,22561.6252689389
91,2023-05-17,1360.8400430000006,7593813.0,11961.208333333334,26624960.33333333,1709308.9960005016,38.10403268015888,316688.326821642,678.125,937.5,4675218.791666667,2343018.4166666665,0.9502513570833128,416.1955705362757,24230.291666666668,24310.58333333333,27029.403715277756,28498.33388958337,26294.596994791624,22585.26430833752
92,2023-05-18,1381.4205531400005,7791505.0,8237.166666666666,23463587.125,1581130.5012276603,50.31724214205096,266072.6374633107,583.7916666666666,787.5,3471538.75,1662934.0833333333,0.8575212558333364,387.6359770816969,23256.666666666668,19862.666666666668,27177.879583333328,28479.857952777813,26336.416695486067,22609.435967679605
93,2023-05-19,1412.23578989,8010149.0,9110.166666666666,24959642.5,1680694.7599689425,47.06811992556163,223396.551036814,411.875,584.1666666666666,4309022.583333333,1954966.875,1.2839681979166604,393.7454966488242,24958.25,21478.08333333333,26893.65263888886,28449.66252777781,26374.198565972176,22631.86642145557
94,2023-05-20,1434.3815287299997,8196274.0,7755.208333333333,21632158.541666668,1735850.73362183,43.45483603885074,167878.98291082014,371.2916666666667,511.4583333333333,3839634.2083333335,1701128.1666666667,0.922739118333312,338.8884188326547,21093.20833333333,17655.666666666668,26959.162743055556,28424.30822569448,26418.122105902738,22654.40442313057
95,2023-05-21,1455.323124019999,8443197.0,10288.458333333334,25127674.416666668,1761233.735763298,27.777190986849405,153799.62496291942,464.5833333333333,606.5,5923045.666666667,2465640.5,0.872566470416647,416.9047200008126,23277.916666666668,20276.041666666668,27014.42951388889,28394.869245833368,26470.351164930515,22676.995226709627
